fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12.0,7
7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
7.0,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6,7
6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12.0,7
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9.0,5
7.0,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6
5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12.0,7
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10.0,5
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13.0,7
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3.0,0.6,11.3,6
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9.0,5
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
6.0,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10.0,5
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5
7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11.0,6
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,5
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,7
6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12.0,7
7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11.0,6
