fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9.0,6
7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9.0,6
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6
9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5
8.0,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
6.7,0.21,0.49,1.4,0.047,30,114,0.9914,2.92,0.42,10.8,7
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5
5.7,0.24,0.3,1.3,0.03,25,98,0.98968,3.37,0.43,12.4,7
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10.0,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5
6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
5.8,0.3,0.23,1.5,0.034,37,121,0.98871,2.96,0.34,12.1,6
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10.0,5
5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12.0,7
7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,6
6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9.0,5
7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9.0,6
9.0,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5
5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
