fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6
6.0,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
7.0,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12.0,6
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
6.0,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
8.0,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10.0,5
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
7.0,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12.0,8
6.4,0.22,0.32,12,0.066,57,158,0.9992,3.6,0.43,9.0,6
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
6.7,0.66,0.0,13,0.033,32,75,0.99551,3.15,0.5,10.7,6
8.0,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,4
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10.0,5
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6
5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6
6.0,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7
6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2,6
